data,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2008-05,0.132985090,1.012831123,0.471507814,0.474496974,1.843623083,2.713015613,2.244493445,0.235584654,1.080969375,0.128687948,3.474058188,2.652536076,4.665017679,9.917277862,1.336846103,3.661861521,3.593950483,2.064694329,0.093688932,0.913395621,0.336881601,0.196118713,0.018324872,0.381275477,1.399210845,0.759327067,0.537039417
2008-06,0.465447814,0.578760642,0.383100099,0.237248487,2.112765139,2.393837305,1.625322839,0.266995941,1.176349026,0.245676992,3.410314001,2.334231747,5.346042158,7.699356296,1.039769191,2.958182908,3.648858060,2.666896842,0.056213359,0.860235029,0.159082978,0.016343226,0.009162436,0.508367302,0.899492686,0.809948872,0.345239625
2008-07,0.465447814,0.434070481,0.648323245,0.474496974,2.206964858,2.713015613,1.006152234,0.125645149,1.621454063,0.163784661,4.366476805,3.342195456,5.936263373,8.269678984,1.039769191,2.842041777,3.349362186,2.408810051,0.149902292,0.836071124,0.327523779,0.130745808,0.000000000,0.466003360,0.999436318,0.590587719,0.728839208
2008-08,0.598432904,1.012831123,0.589384768,0.237248487,2.018565419,1.276713229,1.393133862,0.266995941,1.653247280,0.315870418,4.143372150,3.183043292,6.469732548,6.970610638,0.792205098,2.288663451,4.432538929,3.011012563,0.193623794,0.727333550,0.514680224,0.049029678,0.009162436,0.804914895,1.232638125,0.658083458,0.613759333
2008-09,0.332462724,1.012831123,0.766200198,0.711745461,1.561023924,1.117124076,2.012304468,0.172762079,1.271728677,0.631740836,5.195151235,3.554398342,6.651339076,8.428101953,1.485384559,3.907807444,4.382622950,2.982336253,0.143656363,1.213028047,0.589542802,0.147089034,0.000000000,0.593095186,0.766234510,0.978688220,0.843919084
2008-10,0.132985090,1.591591765,0.500977053,1.897987896,1.264967663,0.159589154,2.399286096,0.094233861,0.731243989,0.748729879,3.888395403,2.095503500,4.767171351,7.414194952,1.336846103,3.409083767,5.026539078,2.294104810,0.149902292,1.734968402,1.160369960,0.261491617,0.054974616,1.313282197,1.066065406,0.624335589,0.575399375
2008-11,0.531940359,1.446901605,0.353630861,0.711745461,1.332253177,0.957534922,2.476682422,0.078528218,0.922003291,0.854020018,1.243011645,2.254655665,3.121362194,8.016202234,1.386358921,3.866816457,4.652169236,3.154394114,0.093688932,1.171949408,0.795414892,0.310521295,0.073299489,1.313282197,1.132694494,0.877444611,0.690479250
2008-12,0.332462724,0.723450802,0.500977053,0.711745461,1.116939532,1.276713229,2.631475073,0.157056436,0.826623640,0.491353983,0.541825589,1.856775254,3.643480961,9.663801112,1.633923014,4.720795356,5.051497068,3.928654487,0.187377865,1.234775562,0.673763202,0.555669686,0.164923849,1.143826430,1.232638125,1.164301503,0.383599583
2009-01,0.531940359,1.157521284,1.119831059,0.237248487,1.978194111,3.191783074,2.863664050,0.251290297,0.922003291,0.982707966,5.195151235,2.785162880,5.584400726,8.491471141,1.782461470,5.547446931,5.041513872,3.183070424,0.131164505,1.258939467,0.467891113,0.457610329,0.201573593,1.313282197,1.432525389,1.451158396,0.460319500
2009-02,0.332462724,1.736281926,1.208238774,0.237248487,2.099308036,2.393837305,2.476682422,0.204173366,1.430694761,1.017804680,5.003918674,2.811688241,4.245052584,9.537062737,1.980512745,4.488513096,4.747009596,2.953659943,0.156148221,1.174365798,0.542753691,0.441267103,0.146598977,1.440374023,1.798985372,1.113679699,0.997358917
2009-03,0.598432904,1.012831123,0.677792483,0.474496974,2.247336167,2.393837305,2.631475073,0.298407228,1.462487978,1.064600297,5.482000076,2.811688241,6.901048051,12.990683460,2.624179387,5.308332839,5.046505470,3.584538766,0.106180790,1.430503195,0.626974091,0.424923877,0.155761413,1.652193732,1.932243548,1.856132832,0.882279042
2009-04,0.465447814,0.578760642,0.736730960,1.660739409,1.964737008,3.670550535,2.321889771,0.219879010,1.208142243,1.134793723,5.513872169,1.458894842,3.938591569,10.107385430,2.030025563,4.222071679,4.677127226,3.355128285,0.112426719,1.087375739,0.364955068,0.130745808,0.082461925,1.440374023,0.632976335,1.164301503,0.690479250
2009-05,0.332462724,1.302211444,0.707261721,1.186242435,2.206964858,1.755480691,2.476682422,0.314112871,1.176349026,1.041202488,5.322639609,3.050416488,4.188300544,9.632116518,1.782461470,5.123873397,4.392606146,3.211746734,0.106180790,1.053546272,0.383670712,0.163432261,0.064137052,1.016734604,1.465839933,1.383662656,0.575399375
2009-06,0.199477635,0.289380321,0.795669436,0.948993948,1.897451494,1.915069844,4.256797913,0.439758020,1.875799798,0.643439740,5.673232637,3.023891127,4.426659112,10.202439210,1.485384559,4.932582123,4.377631352,3.527186146,0.081197075,0.838487514,0.149725156,0.098059356,0.027487308,0.423639418,0.999436318,1.349914787,0.652119292
2009-07,0.664925449,1.157521284,0.707261721,1.186242435,2.516478222,1.436302383,3.560230982,0.408346733,2.098352317,0.292472609,5.099534954,2.652536076,5.028230735,7.826094671,2.327102475,4.898422967,5.485766084,3.097041494,0.081197075,0.976221775,0.233945556,0.049029678,0.009162436,0.720187011,1.232638125,1.366788721,0.421959542
