execucao_utc,data_previsao,uf,regiao,media,limite_inferior_95,limite_superior_95
2026-08-10T00:25:46.942577+00:00,2026-06,AC,Norte,2.626024635200167,2.1055236755782185,3.167492601392152
2026-08-10T00:25:46.942577+00:00,2026-06,AL,Nordeste,36.963110348141186,35.31551354390263,38.68457547363755
2026-08-10T00:25:46.942577+00:00,2026-06,AM,Norte,1.416676929750081,1.2453498999403303,1.575717466918861
2026-08-10T00:25:46.942577+00:00,2026-06,AP,Norte,4.8089043993239455,4.260455989661556,5.399073040134275
2026-08-10T00:25:46.942577+00:00,2026-06,BA,Nordeste,13.257443020511237,12.588279934810773,13.915713004839386
2026-08-10T00:25:46.942577+00:00,2026-06,CE,Nordeste,6.890208479723264,6.41073695622659,7.371394541664541
2026-08-10T00:25:46.942577+00:00,2026-06,DF,Centro-Oeste,14.45646254917265,11.31678331330594,17.697901853240065
2026-08-10T00:25:46.942577+00:00,2026-06,ES,Sudeste,10.841242097544859,9.197426505908018,12.490212939995544
2026-08-10T00:25:46.942577+00:00,2026-06,GO,Centro-Oeste,7.442180594668525,5.641917214725328,9.252914046204864
2026-08-10T00:25:46.942577+00:00,2026-06,MA,Nordeste,3.868003221947663,3.6572185725710535,4.086760617079091
2026-08-10T00:25:46.942577+00:00,2026-06,MG,Sudeste,14.148636344585046,12.477211739969912,16.078659105137305
2026-08-10T00:25:46.942577+00:00,2026-06,MS,Centro-Oeste,15.734867315091702,11.614023631466765,20.745501107319672
2026-08-10T00:25:46.942577+00:00,2026-06,MT,Centro-Oeste,3.955888657842345,3.369697073149733,4.585868999567263
2026-08-10T00:25:46.942577+00:00,2026-06,PA,Norte,4.164824987949128,3.8226073768526665,4.481362667362741
2026-08-10T00:25:46.942577+00:00,2026-06,PB,Nordeste,16.56453244472576,15.618393318805516,17.506564905214894
2026-08-10T00:25:46.942577+00:00,2026-06,PE,Nordeste,15.512810013658047,14.725497728980054,16.29829840927031
2026-08-10T00:25:46.942577+00:00,2026-06,PI,Nordeste,14.150070546221391,13.414829455552756,14.886109069812868
2026-08-10T00:25:46.942577+00:00,2026-06,PR,Sul,4.285684035027288,3.651430882856364,4.928888868237216
2026-08-10T00:25:46.942577+00:00,2026-06,RJ,Sudeste,0.4366069642803818,0.37014215054063376,0.5115713804557154
2026-08-10T00:25:46.942577+00:00,2026-06,RN,Nordeste,11.585837278517422,10.721897689698174,12.378394618593212
2026-08-10T00:25:46.942577+00:00,2026-06,RO,Norte,2.0500369284885416,1.7920706786400262,2.317402605714332
2026-08-10T00:25:46.942577+00:00,2026-06,RR,Norte,2.269756814434912,1.6757960647940664,2.901124215955716
2026-08-10T00:25:46.942577+00:00,2026-06,RS,Sul,0.4220910146736537,0.2775883163097562,0.5664854547977243
2026-08-10T00:25:46.942577+00:00,2026-06,SC,Sul,0.25249844405102073,0.14337398484736927,0.3636464591672026
2026-08-10T00:25:46.942577+00:00,2026-06,SE,Nordeste,11.736428085059643,10.969321257082992,12.4515573474763
2026-08-10T00:25:46.942577+00:00,2026-06,SP,Sudeste,8.072572348834036,6.9548134811270135,9.216040701480951
2026-08-10T00:25:46.942577+00:00,2026-06,TO,Norte,11.753964412805878,10.029956613030564,13.411156394097846
2026-08-10T00:25:46.942577+00:00,2026-07,AC,Norte,2.5336389359907256,2.104347300159083,2.954267190972175
2026-08-10T00:25:46.942577+00:00,2026-07,AL,Nordeste,41.838919270737506,39.9473428479378,43.85860621937058
2026-08-10T00:25:46.942577+00:00,2026-07,AM,Norte,1.3866403677504031,1.2256477182070227,1.5475255226133564
2026-08-10T00:25:46.942577+00:00,2026-07,AP,Norte,4.4064427145290646,3.6391461430249104,5.159219459446099
2026-08-10T00:25:46.942577+00:00,2026-07,BA,Nordeste,14.33295172038484,13.654520710860172,15.113277536344178
2026-08-10T00:25:46.942577+00:00,2026-07,CE,Nordeste,9.435333875251969,8.973115919887634,9.90262800340403
2026-08-10T00:25:46.942577+00:00,2026-07,DF,Centro-Oeste,12.376602095606886,9.777870663613976,15.085244745821873
2026-08-10T00:25:46.942577+00:00,2026-07,ES,Sudeste,12.25787755574721,10.53670607442476,14.062132330170005
2026-08-10T00:25:46.942577+00:00,2026-07,GO,Centro-Oeste,9.1241426977482,6.995875937605745,11.314369637886665
2026-08-10T00:25:46.942577+00:00,2026-07,MA,Nordeste,4.333029107911427,4.098821031857419,4.548930908031423
2026-08-10T00:25:46.942577+00:00,2026-07,MG,Sudeste,15.669881816278552,13.797213619543516,17.746040976307352
